Job Title,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,sal,Needed_Exp
 Project Manager For Civil Work, Real Estate Construction| Project Management| Interpersonal Communication| Communication Skills| Project Manager| Project Coordinator| site coordinator,Production/Manufacturing/Maintenance,Ahmedabad (Ellisbridge) ,"Production , Manufacturing , Maintenance","Real Estate, Property",Project Manager-Production/Manufacturing/Maintenance,72.5716416,23.022886,2387,10
 Vacancy For Motion Graphic Artist, Graphics| Multimedia| Visualization| Infographics| Social Media| Adobe After Effects| Protools| Photoshop| Graphic Designing| English Language,,Pune,Other,"IT-Software, Software Services",Other,73.8544541,18.521428,6180,5
 Business Associate, international bpo| Chat Process| voice based process| tele caller| process developer| Sales| b.a| exl| communication skills| Ba| Blended Process| bba| wipro| tcs| bbm| customer support| bcom| cse| accenture| Fresher| wns,Voice,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","KPO, Research, Analytics",Associate/Senior Associate -(NonTechnical),77.00270015,28.42826235,1988,0
 Project Support Officer/Administrator, project support| Banking| Maya| E-commerce| big data,Technical Support,Chennai,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Customer Support Engineer/Technician,80.270186,13.0836939,5330,1
" Immediate Requirement For Officer - IT @ Vibgyor High, Electronic City", Networking| It Asset| Antivirus| Hardware Troubleshooting,Admin/Maintenance/Security/Datawarehousing,Bengaluru,"IT Software - Application Programming , Maintenance","Education, Teaching, Training",System Administrator,77.590082,12.9767936,1542,1
 Procurement - MDM, Procurement| Business process| IT services| Automation| data services| Master data management| Consulting| Vendor| Troubleshooting| Business Executive,Purchase/Material Management,Gurgaon,Purchase / Logistics / Supply Chain,"IT-Software, Software Services",Purchase/Vendor Development Manager,77.00270015,28.42826235,6851,2
 If You're an Experienced in International Tech Sales Then Call Us / In, Recruitment| Outbound| Technical support| English| Comp| Email| Troubleshooting| Domestic BPO| International BPO| Inbound calls,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),88.35769124,22.5414185,6184,1
 Senior Game Artist, Photoshop| Illustrator| Fine arts| Software design| User interface designing| game development| creative content| Supervision| Relationship Executive| Business Executive,Programming & Design,Mumbai,IT Software - Telecom Software,"Animation, Gaming",Graphic/Web Designer,72.8773928,19.0759899,4353,3
 Manager (PR), marketing| project management| PR| project planning,Voice,Noida,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Associate/Senior Associate -(NonTechnical),77.3271074,28.5707841,6753,5
 Senior Engineer Project, Leadership training| Software development life cycle| Management,Project Management,"Manesar,Gurgaon,haryana","Site Engineering , Project Management","IT-Software, Software Services",Project Manager-IT/Software,76.92637867,28.32470955,3887,2
 PERL Developer, Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Software Developer,77.590082,12.9767936,6509,6
" SME Techincal Supervisor_ Red Hat, Fuse, Apache, Camel_magarpatta", apache camel| Administration| Technical Support| redhat| Activemq,System Design/Implementation/ERP/CRM,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Subject Matter Expert,73.8544541,18.521428,6571,12
 Wire Industry, customer profiling| market research| sales executive| marketing executive| distributors| sales strategy| Business Development,Corporate Sales,"Gurgaon,Mumbai,Pune,Cuttack,Chennai,Kanpur,Kolkata,Raipur","Sales , Retail , Business Development","Recruitment, Staffing",Branch Manager/Regional Manager,,,5838,3
 Manager Brand Marketing, customer segmentation| Brand management| Strategic partnerships| Brand marketing| Consumer insights| Performance appraisal| Operations| Promotional strategies| Marketing strategy| Recruitment,Marketing,Mumbai,"Marketing , Advertising , MR , PR , Media Planning","FMCG, Foods, Beverage",Product/Brand Manager,72.8773928,19.0759899,2257,4
 Oracle Fusion Apps_manufacturing_any Location, Negotiation| Marine Operation| Oracle Fusion| Manufacturing| Inventory,System Design/Implementation/ERP/CRM,"Bengaluru,Pune","IT Software - ERP , CRM","IT-Software, Software Services",Functional Outside Consultant,73.912743,18.232257,6517,6
 VP / Sr.vp Fire, Fire Safety| fire| Senior Management,Safety/Health/Environment,Delhi NCR,"Production , Manufacturing , Maintenance","Real Estate, Property",Safety Officer/Manager,77.1212148,28.6882438,5622,17
 Data Science Engineer, Unix| data science| SQL| Linux| SAS| HTML| Perl| SDLC| Android| Python,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Medical, Healthcare, Hospitals",Software Developer,77.590082,12.9767936,2638,5
